"","Date","TrancheID","Mgr","REDate","Price","Yield","DM","CpnRate","NAV","WAS","WAL","MVOC","JPM_DM","T2R"
"12",2018-05-25,"APEX18.F","Jefferies Finance LLC",2023-04-25,94,0.131339970578251,0.102140005658029,7.5,70.0236094477764,3.55895,3.1693,106.720257072536,740.82042015503,4.91718001368925
"13",2018-05-25,"EVCLO151.FR","Eaton Vance Management",2023-01-20,99.4791565286985,0.11887666845185,0.0897533717201539,7.97,60.5073744234469,3.13789,3.6388,105.199797839765,740.82042015503,4.6570841889117
"17",2018-06-14,"APEX18.F","Jefferies Finance LLC",2023-04-25,93.5,0.133827631984705,0.105118323156943,7.5,68.6318168681386,3.5622919668188,3.17675690555487,106.582659078574,746.994331330948,4.86242299794661
"19",2018-05-30,"CIFC2014.FR2","CIFC Asset Management LLC",2023-01-18,96.25,0.127699991516077,0.100499977376205,7.9,36.5501967421736,3.38307,3.9075,104.053949642261,740.993642100054,4.63791923340178
"20",2018-05-29,"DRYDEN53.F","PGIM",2023-01-17,95.325,0.1258,0.0990875,7.5,68.6287,3.26295,3.2509,105.7917,741.273,4.63791923340178
"21",2018-05-29,"TCWR14-2.FR","THL Credit Senior Loan Strategies LLC",2023-01-17,95.225,0.130675,0.1039625,7.87,28.5147,3.58206,3.9135,103.4582,741.273,4.63791923340178
"22",2018-06-06,"EVCLO151.FR","Eaton Vance Management",2023-01-20,98.9299864284099,0.120604154263741,0.0921560787152228,7.97,59.5658007713187,3.12760967518661,3.66804661388826,105.118824866546,745.428089889165,4.62422997946612
"23",2018-05-30,"HBRD13-2.ER","Highbridge Principal Strategies LLC",2022-10-20,95.4,0.13555,0.10795,8.25,42.0172,3.24696,3.5872,104.6734,740.7143,4.39151266255989
"25",2018-06-04,"ATLASF10.F","Crescent Capital Group LP",2023-01-17,95.0418191102358,0.131032261021516,0.102282239816506,7.72,46.54,3.42751,3.538,105.320651369844,746.260223147389,4.62149212867899
"26",2018-06-14,"SHACKLE3.FR","Alcentra Inc.",2022-07-15,95.5984309055017,0.14378129616737,0.114855890579569,8.02,27.1997884390082,3.30797,3.2299,104.077180464107,748.432676817247,4.08487337440109
