"","Date","TrancheID","Mgr","REDate","Price","Yield","DM","CpnRate","NAV","WAS","WAL","MVOC","JPM_DM","T2R"
"23",2018-06-14,"CATA14-1.CR","Trimaran Advisors LLC",2022-10-20,100.590875683566,0.0653003304757206,0.0367001110151721,3.43,47.9964472631676,3.53577,3.3712,113.356048973624,282.910884017927,4.35044490075291
"24",2018-06-14,"GWOLF5.CR","Greywolf Capital Management LP",2023-01-25,100,0.0621548019201513,0.0334909419842934,3,72.2380946902882,3.12125,3.6049,111.951289103552,282.910884017927,4.61601642710472
"25",2018-05-30,"NB_XV.DR","Neuberger Berman Fixed Income LLC",2022-10-17,100.4375,0.0607499901020899,0.0335999773762054,3.05,43.0230947823874,3.19021,3.3853,111.343999414609,282.905148149091,4.38329911019849
"26",2018-06-14,"VENT_16.DRR","MJX Asset Management LLC",2020-01-15,98.8125539657086,0.0661635921631512,0.0388361570247934,2.51,47.3461958384729,3.7755577011636,0.793012760577279,111.590934543193,282.910884017927,1.58795345653662
"27",2018-05-31,"BENEFIT8.CR","Benefit Street Partners LLC",2023-01-20,100,0.0582500042417216,0.0304,2.75,73.8601013121059,3.29954,3.555,112.818350145632,282.840500022623,4.64065708418891
"28",2018-06-14,"OCP_14-5.CR","Onex Credit Partners LLC",2023-04-26,99.5918479904682,0.0619997669915537,0.0331996465722911,2.9,33.3525735405525,3.30751,4.2626,111.656699946857,282.880847695074,4.86516084873374
"29",2018-06-06,"TICPCLO9.D","TPG Capital",2023-01-20,100.0625,0.062900095001131,0.0344400180954535,2.9,74.2580412768604,3.17285,3.1018,114.760762394255,282.857283052477,4.62422997946612
"30",2018-06-01,"ZAIS_5.C","ZAIS Group Inc.",2020-10-15,100.6875,0.0756000226218754,0.0485000075406251,4.5,60.5343055084267,4.14991,1.4374,112.274800646609,282.848733814048,2.37371663244353
"31",2018-06-01,"BABS14-3.D1","Barings LLC (fka Babson Capital Management)",2019-01-15,100.187774166886,0.0708361824979499,0.0454556269481125,3.5,37.5376511720628,3.54035,-0.1088,112.146600115934,282.853250337905,0.624229979466119
"32",2018-06-01,"BLUM16-2.C","BlueMountain Capital Management LLC",2021-08-20,100.56749893963,0.0696111266517744,0.0417611195826382,4.1,73.1507533719779,3.13164,2.3094,112.350950357698,282.853250337905,3.21971252566735
"33",2018-06-01,"GILLBTPK.D","GSO / Blackstone Debt Funds Management",2022-10-17,100.3527748738,0.0601333538509826,0.031894456467694,2.95,75.3792000311042,3.5112,3.0441,114.590550001414,282.853250337905,4.37782340862423
"35",2018-06-01,"OCT_30.C","Octagon Credit Investors, LLC",2022-04-20,100.754444602092,0.0647777919389227,0.0367166701840803,3.5,79.4190513077902,3.59251,2.6319,113.87620014421,282.853250337905,3.88501026694045
"37",2018-06-01,"TCWR17-1.D","THL Credit Senior Loan Strategies LLC",2021-04-19,100.798887790357,0.0670611280656016,0.0394111209964654,3.75,73.8264499816202,3.52893,1.3356,113.576149998586,282.853250337905,2.8829568788501
"38",2018-06-11,"BD_16-1.CR","Black Diamond Capital Management LLC",2023-04-26,99.6846965322803,0.0630401221155386,0.0340900933769281,3,73.3687356255123,3.82113,3.6536,113.761435267458,282.870251376155,4.87337440109514
"39",2018-06-04,"PALMS132.CR","Palmer Square Capital Management LLC",2019-10-17,100.457138008141,0.0669929234620713,0.0396929149800673,3.6,42.466408524414,3.34658,0.3019,111.717400924538,282.838597743787,1.36892539356605
"40",2018-06-04,"PALMS141.CR2","Palmer Square Capital Management LLC",2023-01-17,99.4358485454299,0.0599929234620713,0.0312286184687155,2.65,55.3239595804235,3.30386,3.3664,113.553201195963,282.838597743787,4.62149212867899
"42",2018-06-14,"CATLAKE2.DR","Carlson Capital, L.P.",2021-07-15,100.3,0.0747429345456307,0.0460286138789748,4.1,63.3958621784209,3.39714811049563,1.95862497698681,112.176620724794,282.928979988211,3.08555783709788
"45",2018-06-07,"MRBLPT11.D","Marble Point Credit Management LLC",2023-01-18,99.6388849640343,0.06138334677785,0.0324333538445883,2.8,75.4538498911722,3.47324,3.5841,113.504049919439,282.893649023377,4.61601642710472
"46",2018-06-06,"MRTHN8.C","Marathon Asset Management LP",2020-07-20,100.18,0.0743,0.0466,4.05,63.332,4.14787,1.2891,113.1515,282.9282,2.12183436002738
"47",2018-06-07,"OCP15-10.CR","Onex Credit Partners LLC",2019-10-28,99.6166633671888,0.0615055831099302,0.0340055831099302,2.6,64.3657504028041,3.3277,0.2145,113.670950145575,282.893649023377,1.39082819986311
"48",2018-06-06,"SOUNDP12.D","Sound Point Capital Management LP",2020-10-20,100.9375,0.0724,0.0444,4.25,75.9167,3.6302,1.1131,114.8755,282.9282,2.37371663244353
"49",2018-06-14,"BENEFIT8.CR","Benefit Street Partners LLC",2023-01-20,99.75,0.0607400296172368,0.0316999988695711,2.75,74.7077602360336,3.28933950995908,3.49179696366802,112.906138777102,282.904401149646,4.60232717316906
"50",2018-06-12,"BENEFT11.C","Benefit Street Partners LLC",2022-04-18,100.9375,0.0685750332080378,0.0397250077720939,3.75,82.5666897182263,3.35852,2.6542,112.948349162027,282.930908177656,3.84941820670773
"51",2018-06-14,"BENEFT12.C","Benefit Street Partners LLC",2022-10-17,100.375,0.0626000373041532,0.0335800027130293,3.05,78.2353958931518,3.37163,3.2518,113.935717726255,282.904401149646,4.34223134839151
"53",2018-06-14,"BATT_10.C","Brigade Capital Management LLC",2021-01-25,101.479997852331,0.0710000293891577,0.0425800063299724,4.25,89.7405966812859,3.49123,1.107,115.707819037392,282.952521884749,2.61738535249829
"59",2018-06-12,"MAGNET15.D","BlackRock Financial Management",2020-01-27,100.122497951225,0.0743000169553791,0.0465500155424308,4,75.3701484867324,3.14926,0.1255,114.575599813491,282.985953434877,1.62628336755647
"60",2018-06-12,"MAGNET7.CR2","BlackRock Financial Management",2021-01-15,97.1749667957159,0.0656501511854636,0.0373501483595671,2.05,55.9148984344533,3.02479,2.2074,112.67874981773,282.985953434877,2.59548254620123
"61",2018-06-12,"NB_XV.DR","Neuberger Berman Fixed Income LLC",2022-10-17,100.2,0.0632500014129483,0.0341,3.05,44.2165489586571,3.16774,3.5514,111.391849919462,282.985953434877,4.34770704996578
"62",2018-06-12,"NB_XVI-S.D","Neuberger Berman Fixed Income LLC",2020-01-15,99.400988668155,0.0629000819509989,0.0352000791251024,2.5,86.6416985305338,3.16989,0.607,112.235299940656,282.985953434877,1.59342915811088
"64",2018-06-12,"ATLASLF3.DR","Crescent Capital Group LP",2019-11-18,99.4375,0.06125833,0.033475,2.6,36.0554,3.3437,1.2102,110.4743,283.1075,1.43463381245722
"65",2018-06-14,"ATLASLF7.D","Crescent Capital Group LP",2020-11-30,100.918334416502,0.0666916652538382,0.0382333257982481,3.9,70.3193680418197,3.44834,1.2999,114.033699069417,283.00186084393,2.46406570841889
"66",2018-06-14,"LOCKWDG.DRR","Tall Tree Investment Management LLC",2022-01-25,99.25,0.064050002825657,0.035,2.85,73.2689598813224,3.40462,2.9998,114.341848968635,282.952941265894,3.61670088980151
"67",2018-06-12,"VIBRANT4.D","DFG Investment Advisers Inc",2021-01-20,101.52,0.07416,0.04576,4.5,91.0886,3.75027,1.213,116.3108,283.1075,2.60917180013689
"68",2018-06-12,"VIBRANT5.D","DFG Investment Advisers Inc",2021-07-20,101.8,0.0679,0.0391,4,76.7085,3.73124,1.662,114.493,283.1075,3.1047227926078
"69",2018-06-14,"ARPT14-2.DR","Arrowpoint Asset Management LLC",2021-10-15,100.387496114831,0.0646250134214913,0.0355750148342799,3.2,37.7237,3.47743,2.2165,112.508399471617,282.949045743268,3.33744010951403
"70",2018-06-13,"ARPT15-4.D","Arrowpoint Asset Management LLC",2019-04-18,100.8,0.0763,0.0495,4.5,66.9825,3.45829,0.0229,113.3734,283.0997,0.845995893223819
"71",2018-06-14,"CCPCLO3.D","Covenant Credit Partners, LLC",2021-10-15,101.025002119183,0.0685749922296629,0.0394999943488458,3.75,60.2095,3.18232,2.0989,113.815699635501,282.949045743268,3.33744010951403
