[1] "7"
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.148181586637577,0.152421214325798,0.15666084201402,0.160900469702241,0.165140097390462,0.169379725078684,0.173619352766905,0.177858980455126,0.182098608143348,0.186338235831569,0.19057786351979
"2",0.13381333451974,0.138052962207962,0.142292589896183,0.146532217584405,0.150771845272626,0.155011472960847,0.159251100649069,0.16349072833729,0.167730356025511,0.171969983713733,0.176209611401954
"3",0.121131392367689,0.125371020055911,0.129610647744132,0.133850275432353,0.138089903120575,0.142329530808796,0.146569158497018,0.150808786185239,0.15504841387346,0.159288041561682,0.163527669249903
"4",0.110135760181423,0.114375387869645,0.118615015557866,0.122854643246088,0.127094270934309,0.13133389862253,0.135573526310752,0.139813153998973,0.144052781687194,0.148292409375416,0.152532037063637
"5",0.100826437960943,0.105066065649164,0.109305693337385,0.113545321025607,0.117784948713828,0.122024576402049,0.126264204090271,0.130503831778492,0.134743459466714,0.138983087154935,0.143222714843156
"6",0.0932034257062471,0.0974430533944684,0.10168268108269,0.105922308770911,0.110161936459133,0.114401564147354,0.118641191835575,0.122880819523797,0.127120447212018,0.131360074900239,0.135599702588461
"7",0.0872667234173368,0.0915063511055581,0.0957459787937795,0.0999856064820009,0.104225234170222,0.108464861858444,0.112704489546665,0.116944117234886,0.121183744923108,0.125423372611329,0.12966300029955
"8",0.0830163310942116,0.087255958782433,0.0914955864706543,0.0957352141588757,0.0999748418470971,0.104214469535318,0.10845409722354,0.112693724911761,0.116933352599983,0.121172980288204,0.125412607976425
"9",0.0804522487368716,0.084691876425093,0.0889315041133144,0.0931711318015357,0.0974107594897571,0.101650387177978,0.1058900148662,0.110129642554421,0.114369270242643,0.118608897930864,0.122848525619085
"10",0.0795744763453168,0.0838141040335382,0.0880537317217595,0.0922933594099809,0.0965329870982023,0.100772614786424,0.105012242474645,0.109251870162866,0.113491497851088,0.117731125539309,0.121970753227531
"11",0.0803830139195473,0.0846226416077687,0.08886226929599,0.0931018969842114,0.0973415246724328,0.101581152360654,0.105820780048876,0.110060407737097,0.114300035425318,0.11853966311354,0.122779290801761
[1] "7.5"
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.150710417811784,0.154950045500005,0.159189673188226,0.163429300876448,0.167668928564669,0.17190855625289,0.176148183941112,0.180387811629333,0.184627439317554,0.188867067005776,0.193106694693997
"2",0.136342165693947,0.140581793382169,0.14482142107039,0.149061048758611,0.153300676446833,0.157540304135054,0.161779931823275,0.166019559511497,0.170259187199718,0.17449881488794,0.178738442576161
"3",0.123660223541896,0.127899851230117,0.132139478918339,0.13637910660656,0.140618734294782,0.144858361983003,0.149097989671224,0.153337617359446,0.157577245047667,0.161816872735888,0.16605650042411
"4",0.11266459135563,0.116904219043852,0.121143846732073,0.125383474420294,0.129623102108516,0.133862729796737,0.138102357484958,0.14234198517318,0.146581612861401,0.150821240549623,0.155060868237844
"5",0.103355269135149,0.107594896823371,0.111834524511592,0.116074152199813,0.120313779888035,0.124553407576256,0.128793035264478,0.133032662952699,0.13727229064092,0.141511918329142,0.145751546017363
"6",0.0957322568804538,0.0999718845686752,0.104211512256897,0.108451139945118,0.112690767633339,0.116930395321561,0.121170023009782,0.125409650698003,0.129649278386225,0.133888906074446,0.138128533762668
"7",0.0897955545915435,0.0940351822797649,0.0982748099679863,0.102514437656208,0.106754065344429,0.11099369303265,0.115233320720872,0.119472948409093,0.123712576097315,0.127952203785536,0.132191831473757
"8",0.0855451622684184,0.0897847899566397,0.0940244176448611,0.0982640453330825,0.102503673021304,0.106743300709525,0.110982928397747,0.115222556085968,0.119462183774189,0.123701811462411,0.127941439150632
"9",0.0829810799110784,0.0872207075992998,0.0914603352875211,0.0956999629757425,0.0999395906639639,0.104179218352185,0.108418846040407,0.112658473728628,0.116898101416849,0.121137729105071,0.125377356793292
"10",0.0821033075195235,0.0863429352077449,0.0905825628959663,0.0948221905841877,0.099061818272409,0.10330144596063,0.107541073648852,0.111780701337073,0.116020329025295,0.120259956713516,0.124499584401737
"11",0.082911845093754,0.0871514727819754,0.0913911004701968,0.0956307281584182,0.0998703558466395,0.104109983534861,0.108349611223082,0.112589238911304,0.116828866599525,0.121068494287746,0.125308121975968
[1] "8"
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.15323924898599,0.157478876674212,0.161718504362433,0.165958132050654,0.170197759738876,0.174437387427097,0.178677015115318,0.18291664280354,0.187156270491761,0.191395898179983,0.195635525868204
"2",0.138870996868154,0.143110624556375,0.147350252244597,0.151589879932818,0.155829507621039,0.160069135309261,0.164308762997482,0.168548390685703,0.172788018373925,0.177027646062146,0.181267273750368
"3",0.126189054716103,0.130428682404324,0.134668310092546,0.138907937780767,0.143147565468988,0.14738719315721,0.151626820845431,0.155866448533652,0.160106076221874,0.164345703910095,0.168585331598316
"4",0.115193422529837,0.119433050218058,0.12367267790628,0.127912305594501,0.132151933282722,0.136391560970944,0.140631188659165,0.144870816347386,0.149110444035608,0.153350071723829,0.157589699412051
"5",0.105884100309356,0.110123727997577,0.114363355685799,0.11860298337402,0.122842611062242,0.127082238750463,0.131321866438684,0.135561494126906,0.139801121815127,0.144040749503348,0.14828037719157
"6",0.0982610880546605,0.102500715742882,0.106740343431103,0.110979971119325,0.115219598807546,0.119459226495767,0.123698854183989,0.12793848187221,0.132178109560431,0.136417737248653,0.140657364936874
"7",0.0923243857657502,0.0965640134539716,0.100803641142193,0.105043268830414,0.109282896518636,0.113522524206857,0.117762151895078,0.1220017795833,0.126241407271521,0.130481034959743,0.134720662647964
"8",0.088073993442625,0.0923136211308464,0.0965532488190678,0.100792876507289,0.10503250419551,0.109272131883732,0.113511759571953,0.117751387260175,0.121991014948396,0.126230642636617,0.130470270324839
"9",0.0855099110852851,0.0897495387735064,0.0939891664617278,0.0982287941499492,0.102468421838171,0.106708049526392,0.110947677214613,0.115187304902835,0.119426932591056,0.123666560279277,0.127906187967499
"10",0.0846321386937302,0.0888717663819516,0.093111394070173,0.0973510217583943,0.101590649446616,0.105830277134837,0.110069904823058,0.11430953251128,0.118549160199501,0.122788787887723,0.127028415575944
"11",0.0854406762679607,0.0896803039561821,0.0939199316444034,0.0981595593326248,0.102399187020846,0.106638814709068,0.110878442397289,0.11511807008551,0.119357697773732,0.123597325461953,0.127836953150174
[1] "8.5"
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.155768080160197,0.160007707848418,0.16424733553664,0.168486963224861,0.172726590913082,0.176966218601304,0.181205846289525,0.185445473977746,0.189685101665968,0.193924729354189,0.198164357042411
"2",0.141399828042361,0.145639455730582,0.149879083418803,0.154118711107025,0.158358338795246,0.162597966483467,0.166837594171689,0.17107722185991,0.175316849548131,0.179556477236353,0.183796104924574
"3",0.128717885890309,0.132957513578531,0.137197141266752,0.141436768954974,0.145676396643195,0.149916024331416,0.154155652019638,0.158395279707859,0.16263490739608,0.166874535084302,0.171114162772523
"4",0.117722253704044,0.121961881392265,0.126201509080486,0.130441136768708,0.134680764456929,0.13892039214515,0.143160019833372,0.147399647521593,0.151639275209815,0.155878902898036,0.160118530586257
"5",0.108412931483563,0.112652559171784,0.116892186860005,0.121131814548227,0.125371442236448,0.12961106992467,0.133850697612891,0.138090325301112,0.142329952989334,0.146569580677555,0.150809208365776
"6",0.100789919228867,0.105029546917089,0.10926917460531,0.113508802293531,0.117748429981753,0.121988057669974,0.126227685358195,0.130467313046417,0.134706940734638,0.13894656842286,0.143186196111081
"7",0.0948532169399569,0.0990928446281782,0.1033324723164,0.107572100004621,0.111811727692842,0.116051355381064,0.120290983069285,0.124530610757506,0.128770238445728,0.133009866133949,0.137249493822171
"8",0.0906028246168317,0.094842452305053,0.0990820799932744,0.103321707681496,0.107561335369717,0.111800963057939,0.11604059074616,0.120280218434381,0.124519846122603,0.128759473810824,0.132999101499045
"9",0.0880387422594917,0.0922783699477131,0.0965179976359345,0.100757625324156,0.104997253012377,0.109236880700599,0.11347650838882,0.117716136077041,0.121955763765263,0.126195391453484,0.130435019141705
"10",0.0871609698679369,0.0914005975561582,0.0956402252443796,0.099879852932601,0.104119480620822,0.108359108309044,0.112598735997265,0.116838363685486,0.121077991373708,0.125317619061929,0.129557246750151
"11",0.0879695074421674,0.0922091351303887,0.0964487628186101,0.100688390506831,0.104928018195053,0.109167645883274,0.113407273571496,0.117646901259717,0.121886528947938,0.12612615663616,0.130365784324381
[[1]]
NULL

[[2]]
NULL

[[3]]
NULL

[[4]]
NULL

