[1] "4.7"
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.0648296678632794,0.0636614218151188,0.0624931757669582,0.0613249297187976,0.060156683670637,0.0589884376224765,0.0578201915743159,0.0566519455261553,0.0554836994779947,0.0543154534298341,0.0531472073816735
"2",0.0665908380551807,0.0654225920070201,0.0642543459588595,0.0630860999106989,0.0619178538625383,0.0607496078143777,0.0595813617662171,0.0584131157180565,0.0572448696698959,0.0560766236217353,0.0549083775735748
"3",0.0682923287108158,0.0671240826626552,0.0659558366144946,0.064787590566334,0.0636193445181734,0.0624510984700128,0.0612828524218522,0.0601146063736917,0.0589463603255311,0.0577781142773705,0.0566098682292099
"4",0.0699341398301849,0.0687658937820243,0.0675976477338637,0.0664294016857031,0.0652611556375425,0.0640929095893819,0.0629246635412213,0.0617564174930607,0.0605881714449001,0.0594199253967395,0.0582516793485789
"5",0.0715162714132879,0.0703480253651273,0.0691797793169667,0.0680115332688061,0.0668432872206455,0.065675041172485,0.0645067951243244,0.0633385490761638,0.0621703030280032,0.0610020569798426,0.059833810931682
"6",0.0730387234601248,0.0718704774119643,0.0707022313638037,0.0695339853156431,0.0683657392674825,0.0671974932193219,0.0660292471711613,0.0648610011230007,0.0636927550748401,0.0625245090266795,0.0613562629785189
"7",0.0745014959706956,0.0733332499225351,0.0721650038743745,0.0709967578262139,0.0698285117780533,0.0686602657298927,0.0674920196817321,0.0663237736335715,0.0651555275854109,0.0639872815372503,0.0628190354890897
"8",0.0759045889450004,0.0747363428968399,0.0735680968486793,0.0723998508005187,0.0712316047523581,0.0700633587041975,0.0688951126560369,0.0677268666078763,0.0665586205597157,0.0653903745115551,0.0642221284633945
"9",0.0772480023830392,0.0760797563348786,0.074911510286718,0.0737432642385574,0.0725750181903968,0.0714067721422362,0.0702385260940756,0.069070280045915,0.0679020339977544,0.0667337879495939,0.0655655419014333
"10",0.0785317362848118,0.0773634902366513,0.0761952441884907,0.0750269981403301,0.0738587520921695,0.0726905060440089,0.0715222599958483,0.0703540139476877,0.0691857678995271,0.0680175218513665,0.0668492758032059
"11",0.0797557906503184,0.0785875446021578,0.0774192985539972,0.0762510525058366,0.075082806457676,0.0739145604095154,0.0727463143613548,0.0715780683131942,0.0704098222650337,0.0692415762168731,0.0680733301687125
[1] "5.2"
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.0658296173110416,0.064661371262881,0.0634931252147204,0.0623248791665598,0.0611566331183992,0.0599883870702386,0.058820141022078,0.0576518949739174,0.0564836489257568,0.0553154028775963,0.0541471568294357
"2",0.0675907875029428,0.0664225414547822,0.0652542954066216,0.0640860493584611,0.0629178033103005,0.0617495572621399,0.0605813112139793,0.0594130651658187,0.0582448191176581,0.0570765730694975,0.0559083270213369
"3",0.069292278158578,0.0681240321104174,0.0669557860622568,0.0657875400140962,0.0646192939659356,0.063451047917775,0.0622828018696144,0.0611145558214538,0.0599463097732932,0.0587780637251326,0.057609817676972
"4",0.070934089277947,0.0697658432297864,0.0685975971816258,0.0674293511334653,0.0662611050853047,0.0650928590371441,0.0639246129889835,0.0627563669408229,0.0615881208926623,0.0604198748445017,0.0592516287963411
"5",0.0725162208610501,0.0713479748128895,0.0701797287647289,0.0690114827165683,0.0678432366684077,0.0666749906202471,0.0655067445720865,0.0643384985239259,0.0631702524757653,0.0620020064276047,0.0608337603794442
"6",0.074038672907887,0.0728704268597264,0.0717021808115658,0.0705339347634052,0.0693656887152446,0.0681974426670841,0.0670291966189235,0.0658609505707629,0.0646927045226023,0.0635244584744417,0.0623562124262811
"7",0.0755014454184578,0.0743331993702972,0.0731649533221366,0.071996707273976,0.0708284612258154,0.0696602151776549,0.0684919691294943,0.0673237230813337,0.0661554770331731,0.0649872309850125,0.0638189849368519
"8",0.0769045383927626,0.075736292344602,0.0745680462964414,0.0733998002482808,0.0722315542001202,0.0710633081519597,0.0698950621037991,0.0687268160556385,0.0675585700074779,0.0663903239593173,0.0652220779111567
"9",0.0782479518308013,0.0770797057826408,0.0759114597344802,0.0747432136863196,0.073574967638159,0.0724067215899984,0.0712384755418378,0.0700702294936772,0.0689019834455166,0.067733737397356,0.0665654913491954
"10",0.079531685732574,0.0783634396844134,0.0771951936362528,0.0760269475880922,0.0748587015399316,0.0736904554917711,0.0725222094436105,0.0713539633954499,0.0701857173472893,0.0690174712991287,0.0678492252509681
"11",0.0807557400980806,0.07958749404992,0.0784192480017594,0.0772510019535988,0.0760827559054382,0.0749145098572776,0.073746263809117,0.0725780177609564,0.0714097717127958,0.0702415256646352,0.0690732796164746
[1] "5.7"
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.0668295667588037,0.0656613207106432,0.0644930746624826,0.063324828614322,0.0621565825661614,0.0609883365180008,0.0598200904698402,0.0586518444216796,0.057483598373519,0.0563153523253584,0.0551471062771978
"2",0.068590736950705,0.0674224909025444,0.0662542448543838,0.0650859988062232,0.0639177527580626,0.062749506709902,0.0615812606617414,0.0604130146135808,0.0592447685654203,0.0580765225172597,0.0569082764690991
"3",0.0702922276063401,0.0691239815581795,0.0679557355100189,0.0667874894618583,0.0656192434136978,0.0644509973655372,0.0632827513173766,0.062114505269216,0.0609462592210554,0.0597780131728948,0.0586097671247342
"4",0.0719340387257092,0.0707657926775486,0.069597546629388,0.0684293005812274,0.0672610545330668,0.0660928084849062,0.0649245624367456,0.063756316388585,0.0625880703404244,0.0614198242922639,0.0602515782441033
"5",0.0735161703088122,0.0723479242606516,0.071179678212491,0.0700114321643305,0.0688431861161699,0.0676749400680093,0.0665066940198487,0.0653384479716881,0.0641702019235275,0.0630019558753669,0.0618337098272063
"6",0.0750386223556492,0.0738703763074886,0.072702130259328,0.0715338842111674,0.0703656381630068,0.0691973921148462,0.0680291460666856,0.066860900018525,0.0656926539703644,0.0645244079222038,0.0633561618740432
"7",0.07650139486622,0.0753331488180594,0.0741649027698988,0.0729966567217382,0.0718284106735776,0.070660164625417,0.0694919185772564,0.0683236725290958,0.0671554264809352,0.0659871804327746,0.0648189343846141
"8",0.0779044878405248,0.0767362417923642,0.0755679957442036,0.074399749696043,0.0732315036478824,0.0720632575997218,0.0708950115515612,0.0697267655034006,0.06855851945524,0.0673902734070794,0.0662220273589189
"9",0.0792479012785635,0.0780796552304029,0.0769114091822423,0.0757431631340817,0.0745749170859211,0.0734066710377606,0.0722384249896,0.0710701789414394,0.0699019328932788,0.0687336868451182,0.0675654407969576
"10",0.0805316351803362,0.0793633891321756,0.078195143084015,0.0770268970358544,0.0758586509876938,0.0746904049395332,0.0735221588913726,0.072353912843212,0.0711856667950514,0.0700174207468908,0.0688491746987303
"11",0.0817556895458427,0.0805874434976821,0.0794191974495215,0.0782509514013609,0.0770827053532003,0.0759144593050398,0.0747462132568792,0.0735779672087186,0.072409721160558,0.0712414751123974,0.0700732290642368
[1] "6.2"
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.067829516206566,0.0666612701584054,0.0654930241102448,0.0643247780620842,0.0631565320139236,0.061988285965763,0.0608200399176024,0.0596517938694418,0.0584835478212812,0.0573153017731206,0.05614705572496
"2",0.0695906863984672,0.0684224403503066,0.067254194302146,0.0660859482539854,0.0649177022058248,0.0637494561576643,0.0625812101095037,0.0614129640613431,0.0602447180131825,0.0590764719650219,0.0579082259168613
"3",0.0712921770541023,0.0701239310059417,0.0689556849577811,0.0677874389096206,0.06661919286146,0.0654509468132994,0.0642827007651388,0.0631144547169782,0.0619462086688176,0.060777962620657,0.0596097165724964
"4",0.0729339881734714,0.0717657421253108,0.0705974960771502,0.0694292500289896,0.068261003980829,0.0670927579326684,0.0659245118845078,0.0647562658363472,0.0635880197881867,0.0624197737400261,0.0612515276918655
"5",0.0745161197565744,0.0733478737084139,0.0721796276602533,0.0710113816120927,0.0698431355639321,0.0686748895157715,0.0675066434676109,0.0663383974194503,0.0651701513712897,0.0640019053231291,0.0628336592749685
"6",0.0760385718034114,0.0748703257552508,0.0737020797070902,0.0725338336589296,0.071365587610769,0.0701973415626084,0.0690290955144478,0.0678608494662872,0.0666926034181266,0.065524357369966,0.0643561113218055
"7",0.0775013443139822,0.0763330982658216,0.075164852217661,0.0739966061695004,0.0728283601213398,0.0716601140731792,0.0704918680250186,0.069323621976858,0.0681553759286975,0.0669871298805369,0.0658188838323763
"8",0.078904437288287,0.0777361912401264,0.0765679451919658,0.0753996991438052,0.0742314530956446,0.073063207047484,0.0718949609993234,0.0707267149511628,0.0695584689030023,0.0683902228548417,0.0672219768066811
"9",0.0802478507263257,0.0790796046781651,0.0779113586300045,0.076743112581844,0.0755748665336834,0.0744066204855228,0.0732383744373622,0.0720701283892016,0.070901882341041,0.0697336362928804,0.0685653902447198
"10",0.0815315846280984,0.0803633385799378,0.0791950925317772,0.0780268464836166,0.076858600435456,0.0756903543872954,0.0745221083391348,0.0733538622909742,0.0721856162428137,0.0710173701946531,0.0698491241464925
"11",0.0827556389936049,0.0815873929454443,0.0804191468972837,0.0792509008491232,0.0780826548009626,0.076914408752802,0.0757461627046414,0.0745779166564808,0.0734096706083202,0.0722414245601596,0.071073178511999
[1] "6.7"
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.0688294656543281,0.0676612196061675,0.0664929735580069,0.0653247275098463,0.0641564814616857,0.0629882354135252,0.0618199893653646,0.060651743317204,0.0594834972690434,0.0583152512208828,0.0571470051727222
"2",0.0705906358462294,0.0694223897980688,0.0682541437499082,0.0670858977017476,0.065917651653587,0.0647494056054264,0.0635811595572658,0.0624129135091052,0.0612446674609446,0.060076421412784,0.0589081753646234
"3",0.0722921265018645,0.0711238804537039,0.0699556344055433,0.0687873883573827,0.0676191423092221,0.0664508962610615,0.0652826502129009,0.0641144041647403,0.0629461581165798,0.0617779120684192,0.0606096660202586
"4",0.0739339376212336,0.072765691573073,0.0715974455249124,0.0704291994767518,0.0692609534285912,0.0680927073804306,0.06692446133227,0.0657562152841094,0.0645879692359488,0.0634197231877882,0.0622514771396276
"5",0.0755160692043366,0.074347823156176,0.0731795771080154,0.0720113310598548,0.0708430850116942,0.0696748389635337,0.0685065929153731,0.0673383468672125,0.0661701008190519,0.0650018547708913,0.0638336087227307
"6",0.0770385212511735,0.075870275203013,0.0747020291548524,0.0735337831066918,0.0723655370585312,0.0711972910103706,0.07002904496221,0.0688607989140494,0.0676925528658888,0.0665243068177282,0.0653560607695676
"7",0.0785012937617443,0.0773330477135838,0.0761648016654232,0.0749965556172626,0.073828309569102,0.0726600635209414,0.0714918174727808,0.0703235714246202,0.0691553253764596,0.067987079328299,0.0668188332801384
"8",0.0799043867360491,0.0787361406878886,0.077567894639728,0.0763996485915674,0.0752314025434068,0.0740631564952462,0.0728949104470856,0.071726664398925,0.0705584183507644,0.0693901723026038,0.0682219262544432
"9",0.0812478001740879,0.0800795541259273,0.0789113080777667,0.0777430620296061,0.0765748159814455,0.0754065699332849,0.0742383238851243,0.0730700778369637,0.0719018317888031,0.0707335857406425,0.069565339692482
"10",0.0825315340758605,0.0813632880277,0.0801950419795394,0.0790267959313788,0.0778585498832182,0.0766903038350576,0.075522057786897,0.0743538117387364,0.0731855656905758,0.0720173196424152,0.0708490735942546
"11",0.0837555884413671,0.0825873423932065,0.0814190963450459,0.0802508502968853,0.0790826042487247,0.0779143582005641,0.0767461121524035,0.0755778661042429,0.0744096200560824,0.0732413740079218,0.0720731279597612
[1] "7.2"
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.0698294151020903,0.0686611690539297,0.0674929230057691,0.0663246769576085,0.0651564309094479,0.0639881848612873,0.0628199388131267,0.0616516927649661,0.0604834467168055,0.059315200668645,0.0581469546204844
"2",0.0715905852939915,0.0704223392458309,0.0692540931976703,0.0680858471495098,0.0669176011013492,0.0657493550531886,0.064581109005028,0.0634128629568674,0.0622446169087068,0.0610763708605462,0.0599081248123856
"3",0.0732920759496267,0.0721238299014661,0.0709555838533055,0.0697873378051449,0.0686190917569843,0.0674508457088237,0.0662825996606631,0.0651143536125025,0.0639461075643419,0.0627778615161813,0.0616096154680207
"4",0.0749338870689957,0.0737656410208351,0.0725973949726745,0.0714291489245139,0.0702609028763534,0.0690926568281928,0.0679244107800322,0.0667561647318716,0.065587918683711,0.0644196726355504,0.0632514265873898
"5",0.0765160186520988,0.0753477726039382,0.0741795265557776,0.073011280507617,0.0718430344594564,0.0706747884112958,0.0695065423631352,0.0683382963149746,0.067170050266814,0.0660018042186534,0.0648335581704929
"6",0.0780384706989357,0.0768702246507751,0.0757019786026145,0.0745337325544539,0.0733654865062933,0.0721972404581327,0.0710289944099722,0.0698607483618116,0.068692502313651,0.0675242562654904,0.0663560102173298
"7",0.0795012432095065,0.0783329971613459,0.0771647511131853,0.0759965050650247,0.0748282590168641,0.0736600129687036,0.072491766920543,0.0713235208723824,0.0701552748242218,0.0689870287760612,0.0678187827279006
"8",0.0809043361838113,0.0797360901356507,0.0785678440874901,0.0773995980393295,0.0762313519911689,0.0750631059430084,0.0738948598948478,0.0727266138466872,0.0715583677985266,0.070390121750366,0.0692218757022054
"9",0.08224774962185,0.0810795035736895,0.0799112575255289,0.0787430114773683,0.0775747654292077,0.0764065193810471,0.0752382733328865,0.0740700272847259,0.0729017812365653,0.0717335351884047,0.0705652891402441
"10",0.0835314835236227,0.0823632374754621,0.0811949914273015,0.0800267453791409,0.0788584993309803,0.0776902532828198,0.0765220072346592,0.0753537611864986,0.074185515138338,0.0730172690901774,0.0718490230420168
"11",0.0847555378891292,0.0835872918409687,0.0824190457928081,0.0812507997446475,0.0800825536964869,0.0789143076483263,0.0777460616001657,0.0765778155520051,0.0754095695038445,0.0742413234556839,0.0730730774075233
[[1]]
NULL

[[2]]
NULL

[[3]]
NULL

[[4]]
NULL

[[5]]
NULL

[[6]]
NULL

