[1] "2"
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.0489970768305048,0.0487521058811832,0.0485071349318617,0.0482621639825401,0.0480171930332186,0.0477722220838971,0.0475272511345755,0.047282280185254,0.0470373092359325,0.0467923382866109,0.0465473673372894
"2",0.0456478081269745,0.045402837177653,0.0451578662283315,0.0449128952790099,0.0446679243296884,0.0444229533803668,0.0441779824310453,0.0439330114817238,0.0436880405324022,0.0434430695830807,0.0431980986337592
"3",0.0424675705776653,0.0422225996283437,0.0419776286790222,0.0417326577297007,0.0414876867803791,0.0412427158310576,0.040997744881736,0.0407527739324145,0.040507802983093,0.0402628320337714,0.0400178610844499
"4",0.039456364182577,0.0392113932332554,0.0389664222839339,0.0387214513346124,0.0384764803852908,0.0382315094359693,0.0379865384866478,0.0377415675373262,0.0374965965880047,0.0372516256386831,0.0370066546893616
"5",0.0366141889417097,0.0363692179923881,0.0361242470430666,0.0358792760937451,0.0356343051444235,0.035389334195102,0.0351443632457805,0.0348993922964589,0.0346544213471374,0.0344094503978158,0.0341644794484943
"6",0.0339410448550634,0.0336960739057419,0.0334511029564203,0.0332061320070988,0.0329611610577772,0.0327161901084557,0.0324712191591342,0.0322262482098126,0.0319812772604911,0.0317363063111695,0.031491335361848
"7",0.0314369319226381,0.0311919609733166,0.030946990023995,0.0307020190746735,0.0304570481253519,0.0302120771760304,0.0299671062267089,0.0297221352773873,0.0294771643280658,0.0292321933787442,0.0289872224294227
"8",0.0291018501444338,0.0288568791951122,0.0286119082457907,0.0283669372964691,0.0281219663471476,0.0278769953978261,0.0276320244485045,0.027387053499183,0.0271420825498615,0.0268971116005399,0.0266521406512184
"9",0.0269357995204504,0.0266908285711289,0.0264458576218073,0.0262008866724858,0.0259559157231643,0.0257109447738427,0.0254659738245212,0.0252210028751997,0.0249760319258781,0.0247310609765566,0.024486090027235
"10",0.024938780050688,0.0246938091013665,0.024448838152045,0.0242038672027234,0.0239588962534019,0.0237139253040803,0.0234689543547588,0.0232239834054373,0.0229790124561157,0.0227340415067942,0.0224890705574727
"11",0.0231107917351467,0.0228658207858251,0.0226208498365036,0.0223758788871821,0.0221309079378605,0.021885936988539,0.0216409660392174,0.0213959950898959,0.0211510241405744,0.0209060531912528,0.0206610822419313
[1] "2.5"
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.052117604466681,0.0518726335173595,0.0516276625680379,0.0513826916187164,0.0511377206693949,0.0508927497200733,0.0506477787707518,0.0504028078214303,0.0501578368721087,0.0499128659227872,0.0496678949734656
"2",0.0487683357631508,0.0485233648138293,0.0482783938645077,0.0480334229151862,0.0477884519658646,0.0475434810165431,0.0472985100672216,0.0470535391179,0.0468085681685785,0.046563597219257,0.0463186262699354
"3",0.0455880982138415,0.04534312726452,0.0450981563151985,0.0448531853658769,0.0446082144165554,0.0443632434672338,0.0441182725179123,0.0438733015685908,0.0436283306192692,0.0433833596699477,0.0431383887206261
"4",0.0425768918187532,0.0423319208694317,0.0420869499201102,0.0418419789707886,0.0415970080214671,0.0413520370721456,0.041107066122824,0.0408620951735025,0.0406171242241809,0.0403721532748594,0.0401271823255379
"5",0.0397347165778859,0.0394897456285644,0.0392447746792429,0.0389998037299213,0.0387548327805998,0.0385098618312783,0.0382648908819567,0.0380199199326352,0.0377749489833136,0.0375299780339921,0.0372850070846706
"6",0.0370615724912397,0.0368166015419181,0.0365716305925966,0.036326659643275,0.0360816886939535,0.035836717744632,0.0355917467953104,0.0353467758459889,0.0351018048966674,0.0348568339473458,0.0346118629980243
"7",0.0345574595588143,0.0343124886094928,0.0340675176601713,0.0338225467108497,0.0335775757615282,0.0333326048122067,0.0330876338628851,0.0328426629135636,0.032597691964242,0.0323527210149205,0.032107750065599
"8",0.03222237778061,0.0319774068312885,0.0317324358819669,0.0314874649326454,0.0312424939833239,0.0309975230340023,0.0307525520846808,0.0305075811353593,0.0302626101860377,0.0300176392367162,0.0297726682873946
"9",0.0300563271566267,0.0298113562073051,0.0295663852579836,0.0293214143086621,0.0290764433593405,0.028831472410019,0.0285865014606975,0.0283415305113759,0.0280965595620544,0.0278515886127328,0.0276066176634113
"10",0.0280593076868643,0.0278143367375428,0.0275693657882212,0.0273243948388997,0.0270794238895781,0.0268344529402566,0.0265894819909351,0.0263445110416135,0.026099540092292,0.0258545691429705,0.0256095981936489
"11",0.0262313193713229,0.0259863484220014,0.0257413774726799,0.0254964065233583,0.0252514355740368,0.0250064646247152,0.0247614936753937,0.0245165227260722,0.0242715517767506,0.0240265808274291,0.0237816098781075
